time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-20T14:29:57.659Z,61.452,-149.9186,34.8,1.6,ml,,,,0.72,ak,ak20523879,2018-12-20T14:34:35.007Z,"7km SSE of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-12-20T14:29:05.865Z,61.3906,-150.059,41.1,1.6,ml,,,,0.82,ak,ak20523878,2018-12-20T14:32:54.431Z,"15km SSW of Big Lake, Alaska",earthquake,,0.9,,,automatic,ak,ak
2018-12-20T14:21:47.403Z,59.6439,-136.6546,0,2.4,ml,,,,1.12,ak,ak20523855,2018-12-20T14:31:13.790Z,"78km WNW of Skagway, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-12-20T14:16:47.895Z,39.116,-119.7237,8,1.2,ml,17,106.41,0.042,0.1652,nn,nn00670965,2018-12-20T15:56:29.110Z,"6km SE of Carson City, Nevada",earthquake,,1.1,0.34,7,reviewed,nn,nn
2018-12-20T14:13:15.760Z,33.5095,-116.7983333,2.99,0.49,ml,18,70,0.003322,0.16,ci,ci38400752,2018-12-20T14:22:32.632Z,"10km NE of Aguanga, CA",earthquake,0.29,0.74,0.095,12,reviewed,ci,ci
2018-12-20T14:07:55.500Z,61.1039,-151.0056,53.8,1.7,ml,,,,0.53,ak,ak20523850,2018-12-20T14:13:19.790Z,"48km NNE of Nikiski, Alaska",earthquake,,1,,,automatic,ak,ak
2018-12-20T14:02:41.420Z,61.4982,-149.903,33.6,1.7,ml,,,,0.22,ak,ak20523847,2018-12-20T14:09:28.408Z,"3km SE of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-12-20T14:02:23.454Z,39.105,-119.7234,11.1,0.3,ml,3,166.34,0.097,0.0229,nn,nn00670982,2018-12-20T15:41:00.125Z,"5km ENE of Indian Hills, Nevada",earthquake,,5.7,0.02,2,reviewed,nn,nn
2018-12-20T14:00:01.138Z,61.4995,-149.9306,33.4,1.6,ml,,,,0.64,ak,ak20523846,2018-12-20T14:05:47.359Z,"2km SSE of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-12-20T13:59:11.055Z,39.1021,-119.7291,9,0.5,ml,3,162.82,0.101,0.0298,nn,nn00671112,2018-12-20T21:14:18.948Z,"5km ENE of Indian Hills, Nevada",earthquake,,6.7,0,1,reviewed,nn,nn
2018-12-20T13:57:45.865Z,39.1035,-119.727,9.6,0.1,ml,3,164.42,0.1,0.0336,nn,nn00670981,2018-12-20T15:37:54.796Z,"5km ENE of Indian Hills, Nevada",earthquake,,5.2,0.09,2,reviewed,nn,nn
2018-12-20T13:57:07.830Z,33.5118333,-116.7956667,4.31,0.92,ml,29,58,0.003949,0.23,ci,ci38400744,2018-12-20T14:22:30.503Z,"10km NE of Aguanga, CA",earthquake,0.35,0.55,0.151,9,reviewed,ci,ci
